File,Precision,Recall,F1 Score,Translation Length,Reference Length
200_Der_goldene_Schl_ssel.txt,[0.8600070476531982],[0.8744790554046631],[0.8671826720237732],160,174
24_Frau_Holle.txt,[0.8543914556503296],[0.8533837795257568],[0.8538873195648193],1029,577
44_Der_Gevatter_Tod.txt,[0.8346361517906189],[0.8364328145980835],[0.8355335593223572],983,588
97_Das_Wasser_des_Lebens.txt,[0.874350905418396],[0.8634887933731079],[0.86888587474823],1856,2291
201_heavenly_wedding.txt,[0.8557353615760803],[0.8610084652900696],[0.8583638072013855],488,543
127_Der_Eisenofen.txt,[0.8574178218841553],[0.8554272055625916],[0.8564212918281555],1858,2157
112_Der_Dreschflegel_vom_Himmel.txt,[0.8550094962120056],[0.8465531468391418],[0.850760281085968],333,363
115_Die_klare_Sonne_bringts_an_den.txt,[0.8292038440704346],[0.8417102098464966],[0.8354102373123169],450,547
149_Der_Hahnenbalken.txt,[0.8672230243682861],[0.8506410717964172],[0.8588520288467407],256,303
56_Der_Liebste_Roland.txt,[0.8638813495635986],[0.8631635308265686],[0.8635222911834717],1277,1147
21_Aschenbuttel.txt,[0.834861159324646],[0.8413286805152893],[0.8380824327468872],2279,3110
14_Die_drei_Spinnerinnen.txt,[0.8111433386802673],[0.8035704493522644],[0.8073391318321228],734,1139
88_Das_singende_springende_L_wene.txt,[0.8114340305328369],[0.8420188426971436],[0.8264435529708862],1800,2365
118_Die_drei_Feldscherer.txt,[0.8480465412139893],[0.8450570702552795],[0.8465492129325867],1034,1065
106_Der_arme_M_llerbursch_und_das_.txt,[0.8335394859313965],[0.8496505618095398],[0.8415178656578064],1254,1145
42_Der_Herr_Gevatter.txt,[0.8547897934913635],[0.8578159809112549],[0.8563002347946167],446,498
86_Der_Fuchs_und_die_G_nse.txt,[0.7922037839889526],[0.814491868019104],[0.803193211555481],164,225
142_Simeliberg.txt,[0.8562383651733398],[0.8666338324546814],[0.8614047169685364],812,840
65_Allerleirauh.txt,[0.8699833750724792],[0.8547435402870178],[0.8622961044311523],1873,1998
131_Die_sch_ne_Katrinelje_und_Pif_.txt,[0.7825416326522827],[0.7440441250801086],[0.7628074884414673],127,388
39_Die_Wichtelm_nner.txt,[0.8382538557052612],[0.8455836176872253],[0.8419027924537659],1114,868
158_Das_M_rchen_vom_Schlauraffenla.txt,[0.8641535639762878],[0.8457720875740051],[0.8548640608787537],287,336
159_Das_Dietmarsische_L_genm_rchen.txt,[0.8844112753868103],[0.8786568641662598],[0.8815246820449829],194,189
109_Das_Todtenhemdchen.txt,[0.8902796506881714],[0.887202262878418],[0.8887382745742798],251,226
2_Katze_und_Maus_in_Gesellschaft.txt,[0.799197256565094],[0.8076744675636292],[0.8034135103225708],772,3110
123_Die_Alte_im_Wald.txt,[0.8415933847427368],[0.8605343699455261],[0.850958526134491],763,916
116_Das_blaue_Licht.txt,[0.8398623466491699],[0.8443853855133057],[0.8421177864074707],1430,1300
150_Die_alte_Bettelfrau.txt,[0.8907443284988403],[0.8586277365684509],[0.8743912577629089],133,159
102_Der_Zaunk_nig_und_der_B_r.txt,[0.8244822025299072],[0.8564006686210632],[0.8401383757591248],726,925
