File,Precision,Recall,F1 Score,Translation Length,Reference Length
21_cinderella.txt,[0.8723336458206177],[0.886509895324707],[0.8793646693229675],2279,2632
134_the_six_servants.txt,[0.8613365292549133],[0.8830405473709106],[0.8720535039901733],2026,2706
200_the_golden_key.txt,[0.8761603832244873],[0.9042477011680603],[0.8899824619293213],160,184
41_herr_korbes.txt,[0.8519608378410339],[0.8671697974205017],[0.8594980239868164],341,391
17_the_white_snake.txt,[0.799872636795044],[0.8153336048126221],[0.807529091835022],1470,377
111_The_Skilful_Huntsman.txt,[0.8602923154830933],[0.88054358959198],[0.8703001737594604],1937,2349
86_the_fox_and_the_geese.txt,[0.803687334060669],[0.8410313129425049],[0.8219353556632996],164,229
15_hansel_and_grethel.txt,[0.872921884059906],[0.884432315826416],[0.8786393404006958],2520,2946
135_the_white_bride_and_the_black_.txt,[0.8563946485519409],[0.880071759223938],[0.8680717945098877],1303,1545
131_Fair_Katrinelje_and_Pif-Paf-Po.txt,[0.7708735466003418],[0.745297908782959],[0.7578700184822083],127,304
94_The_Peasant’s_Wise_Daughter.txt,[0.861145555973053],[0.8782453536987305],[0.8696114420890808],1158,1425
98_doctor_knowall.txt,[0.8587276339530945],[0.8754574060440063],[0.8670119047164917],661,771
123_the_old_woman_in_the_wood.txt,[0.8572560548782349],[0.8861261606216431],[0.8714520335197449],763,916
138_knoist_and_his_three_sons.txt,[0.8030142188072205],[0.8064836859703064],[0.8047451972961426],134,152
157_the_sparrow_and_his_four_child.txt,[0.8136497139930725],[0.861769437789917],[0.8370185494422913],585,929
65_Allerleirauh.txt,[0.9075891971588135],[0.9073111414909363],[0.9074500799179077],1873,2176
"36_The_Wishing-Table,_the_Gold-As.txt",[0.8508024215698242],[0.8465668559074402],[0.8486793637275696],2878,3815
146_the_turnip.txt,[0.8663572072982788],[0.8703864812850952],[0.8683671355247498],966,1155
"23_The_Mouse,_the_Bird,_and_the_S.txt",[0.8575127124786377],[0.8723529577255249],[0.8648691773414612],519,629
126_Ferdinand_the_Faithful.txt,[0.7508843541145325],[0.8059797286987305],[0.7774571776390076],1746,1991
14_the_three_spinners.txt,[0.8123053312301636],[0.7978451251983643],[0.8050102591514587],734,424
