File,Precision,Recall,F1 Score,Translation Length,Reference Length
157_Der_Sperling_und_seine_vier_Ki_en(1).txt,[0.8944950103759766],[0.8816366195678711],[0.888019323348999],1152,955
2_Katze_und_Maus_in_Gesellschaft_en(1).txt,[0.8246119618415833],[0.815075695514679],[0.8198161125183105],929,3110
55_Rumpelstilzchen_en(1).txt,[0.8675761818885803],[0.8595833778381348],[0.8635613322257996],1068,575
105_Märchen_von_der_Unke_en.txt,[0.8659946322441101],[0.8591159582138062],[0.8625416159629822],700,368
42_Der_Herr_Gevatter_en(1).txt,[0.7369805574417114],[0.7893723249435425],[0.7622773051261902],1484,498
86_Der_Fuchs_und_die_G_nse_en.txt,[0.903959333896637],[0.8799177408218384],[0.8917765021324158],206,225
"23_Von_dem_M_uschen,_V_gelchen_un_en(1).txt",[0.877424418926239],[0.8674302101135254],[0.8723986744880676],627,686
76_Die_Nelke_en.txt,[0.8345032930374146],[0.8326287865638733],[0.8335649967193604],1720,758
94_Die_kluge_Bauerntochter_en.txt,[0.9058530926704407],[0.895714282989502],[0.9007552266120911],1295,1380
80_Von_dem_Tode_des_H_hnchens_en(1).txt,[0.8979129791259766],[0.8843765258789062],[0.8910933136940002],627,664
26_Rothk_ppchen_en(1).txt,[0.8890621662139893],[0.887313723564148],[0.8881871104240417],1259,1258
118_Die_drei_Feldscherer_en(1).txt,[0.8985211849212646],[0.8848075866699219],[0.8916116952896118],989,1065
138_Knoist_un_sine_dre_S_hne_en(1).txt,[0.8998203277587891],[0.892095685005188],[0.8959413766860962],155,149
120_Die_drei_Handwerksburschen_en.txt,[0.7403721213340759],[0.79233717918396],[0.7654737234115601],3728,1197
146_Die_R_be_en(1).txt,[0.889151930809021],[0.8742077350616455],[0.8816165328025818],1091,1139
41_Herr_Korbes_en(1).txt,[0.888081431388855],[0.8795915842056274],[0.883816123008728],377,393
135_Die_wei_e_und_die_schwarze_Bra_en(1).txt,[0.9188902974128723],[0.910589337348938],[0.9147210121154785],1426,1547
53_Sneewittchen_en(1).txt,[0.9125336408615112],[0.9032512903213501],[0.9078687429428101],2068,2859
31_Das_M_dchen_ohne_H_nde_en(1).txt,[0.9086917638778687],[0.9004582762718201],[0.9045563340187073],2157,1445
79_Die_Wassernixe_en(1).txt,[0.916827380657196],[0.8996535539627075],[0.9081593155860901],297,293
159_Das_Dietmarsische_L_genm_rchen_en.txt,[0.9256170392036438],[0.9133026599884033],[0.9194186329841614],193,189
141_Das_L_mmchen_und_Fischchen_en(1).txt,[0.8970205187797546],[0.8912267684936523],[0.8941141963005066],583,650
126_Ferenand_getrü_und_Ferenand_un_en.txt,[0.8751402497291565],[0.8665004372596741],[0.8707989454269409],2030,1939
38_Die_Hochzeit_der_Frau_F_chsin_en.txt,[0.902269721031189],[0.9008289575576782],[0.9015487432479858],740,712
49_Die_sechs_Schw_ne_en(1).txt,[0.859454333782196],[0.8521096110343933],[0.8557661771774292],1837,1263
154_Der_gestohlene_Heller_en(1).txt,[0.9152854681015015],[0.9017953276634216],[0.9084903597831726],327,349
123_Die_Alte_im_Wald_en(1).txt,[0.9115337133407593],[0.902389407157898],[0.9069384932518005],894,916
50_Dornr_schen_en(1).txt,[0.8861571550369263],[0.8754913210868835],[0.880791962146759],1146,928
25_Die_sieben_Raben_en(1).txt,[0.8368659019470215],[0.8319588303565979],[0.8344051837921143],897,579
"36_Tischchen_deck_dich,_Goldesel,_en(1).txt",[0.883739173412323],[0.8821568489074707],[0.8829472661018372],3366,2755
96_De_drei_V_gelkens_en(1).txt,[0.8644604682922363],[0.8570437431335449],[0.8607361316680908],1552,1524
65_Allerleirauh_en(1).txt,[0.8880352973937988],[0.8732110857963562],[0.8805607557296753],1931,1998
92_Der_König_vom_goldenen_Berg_en.txt,[0.8885878324508667],[0.871076762676239],[0.8797452449798584],1997,2330
45_Daumerlings_Wanderschaft_en(1).txt,[0.8852141499519348],[0.8767948150634766],[0.8809844255447388],1629,1042
85_Die_Goldkinder_en.txt,[0.8765270113945007],[0.8690322041511536],[0.8727635145187378],1835,1217
