File,BLEU,Precisions,Brevity Penalty,Length Ratio,Translation Length,Reference Length
21_cinderella.txt,0.07502455644069098,"[0.631424375917768, 0.2416452442159383, 0.05841293166789126, 0.013230429988974642]",0.7199590527322879,0.752694114396242,2724,3619
134_the_six_servants.txt,0.15500507459391843,"[0.5949008498583569, 0.23360323886639675, 0.09153503442689348, 0.04538087520259319]",1.0,1.0799825174825175,2471,2288
201_heavenly_wedding.txt,0.2457143754742477,"[0.6580756013745704, 0.3407917383820998, 0.18448275862068966, 0.11053540587219343]",0.9448765159983142,0.9463414634146341,582,615
200_the_golden_key.txt,0.19653885095305326,"[0.5967741935483871, 0.2594594594594595, 0.15217391304347827, 0.08743169398907104]",0.9225209795279595,0.9253731343283582,186,201
41_herr_korbes.txt,0.10526520266062095,"[0.5949074074074074, 0.21809744779582366, 0.06279069767441861, 0.018648018648018648]",0.9481517262555897,0.9494505494505494,432,455
17_the_white_snake.txt,0.07738625181906045,"[0.4660714285714286, 0.17212626563430614, 0.04410011918951132, 0.010137149672033392]",1.0,1.4749780509218613,1680,1139
111_The_Skilful_Huntsman.txt,0.20950790274673833,"[0.6937609841827768, 0.3345054945054945, 0.14819700967458224, 0.07127144742630884]",0.9415824877391693,0.9432242022378782,2276,2413
86_the_fox_and_the_geese.txt,0.05361868611342633,"[0.4416243654822335, 0.11734693877551021, 0.041025641025641026, 0.015463917525773196]",0.7080945386934464,0.7433962264150943,197,265
15_hansel_and_grethel.txt,0.12935563534469124,"[0.5414540816326531, 0.21945773524720893, 0.0768985322271857, 0.030641557612511968]",1.0,1.255404323458767,3136,2498
135_the_white_bride_and_the_black_.txt,0.1961925109978365,"[0.6734028683181226, 0.3150684931506849, 0.14947780678851175, 0.08621815806662313]",0.8579630348362072,0.8671565856416055,1534,1769
131_Fair_Katrinelje_and_Pif-Paf-Po.txt,0.0,"[0.3108108108108108, 0.04081632653061224, 0.0, 0.0]",0.0767219395705146,0.2803030303030303,148,528
94_The_Peasant’s_Wise_Daughter.txt,0.19827408510304395,"[0.7149059334298119, 0.333816075307748, 0.15217391304347827, 0.07614213197969544]",0.8646405657855615,0.8730259001895135,1382,1583
98_doctor_knowall.txt,0.14725791627471457,"[0.6658476658476659, 0.2767527675276753, 0.10467980295566502, 0.03945745992601726]",0.8865718387313869,0.8925438596491229,814,912
123_the_old_woman_in_the_wood.txt,0.1485500369909297,"[0.6711409395973155, 0.28331466965285557, 0.10986547085201794, 0.04601571268237935]",0.8436459428742427,0.8546845124282982,894,1046
138_knoist_and_his_three_sons.txt,0.0,"[0.3885350318471338, 0.08333333333333333, 0.012903225806451613, 0.0]",0.9382918219725468,0.9401197604790419,157,167
157_the_sparrow_and_his_four_child.txt,0.045581404104519184,"[0.46121883656509693, 0.1317614424410541, 0.043055555555555555, 0.015299026425591099]",0.5730474799828207,0.6423487544483986,722,1124
65_Allerleirauh.txt,0.17537359845012468,"[0.6558470431302801, 0.302491103202847, 0.11214953271028037, 0.0427426536064114]",0.998666963094665,0.9986678507992895,2249,2252
"36_The_Wishing-Table,_the_Gold-As.txt",0.09430787094687125,"[0.5628642797668609, 0.2051637978900611, 0.05137461816162177, 0.013333333333333334]",1.0,1.1330188679245283,3603,3180
146_the_turnip.txt,0.15568424789488935,"[0.6519097222222222, 0.26585577758470896, 0.11304347826086956, 0.04960835509138381]",0.8817311786390911,0.8882035466461063,1152,1297
"23_The_Mouse,_the_Bird,_and_the_S.txt",0.13121868243238272,"[0.6821192052980133, 0.29187396351575456, 0.09800664451827243, 0.04326123128119801]",0.7698270467507135,0.7926509186351706,604,762
126_Ferdinand_the_Faithful.txt,0.028717460174504293,"[0.42568542568542567, 0.0904716073147257, 0.016851227732306212, 0.001445086705202312]",0.9228144625629476,0.9256455921638468,2079,2246
14_the_three_spinners.txt,0.0,"[0.576878612716763, 0.1111111111111111, 0.013904982618771726, 0.0]",0.6068813568174728,0.6669236700077101,865,1297
25_the_seven_ravens.txt,0.07762187697744859,"[0.44145077720207254, 0.15871369294605808, 0.04153686396677051, 0.012474012474012475]",1.0,1.4555052790346907,965,663
"18_The_Straw,_the_Coal,_and_the_B.txt",0.038913282206162185,"[0.32972972972972975, 0.08844765342960288, 0.0216998191681736, 0.0036231884057971015]",1.0,1.7398119122257054,555,319
69_jorinda_and_joringel.txt,0.13510452295081524,"[0.523538961038961, 0.20877335499593827, 0.07804878048780488, 0.03905614320585842]",1.0,1.0826010544815465,1232,1138
151_The_Three_Sluggards.txt,0.043162555335159995,"[0.14193548387096774, 0.05972558514931396, 0.02665589660743134, 0.015359741309620048]",1.0,4.901185770750988,1240,253
51_Fundevogel_(Bird-foundling).txt,0.15404311910684215,"[0.5935288169868554, 0.25809716599190285, 0.11043566362715299, 0.05172413793103448]",0.8956439379284981,0.900728597449909,989,1098
91_the_gnome.txt,0.049828298501553424,"[0.42295805739514347, 0.12190812720848057, 0.022536456031816175, 0.005305039787798408]",1.0,1.1579754601226995,2265,1956
56_sweetheart_roland.txt,0.16211665072737652,"[0.5896414342629482, 0.24850498338870433, 0.09840425531914894, 0.04790419161676647]",1.0,1.1566820276497696,1506,1302
13_the_three_little_men_in_the_wo.txt,0.05930211924766942,"[0.5948795180722891, 0.17177297840281266, 0.031155778894472363, 0.007038712921065862]",0.8619186575950128,0.8706293706293706,1992,2288
